Event,count,pct
faceoff,1042394,18.72238392064135
shot-on-goal,988598,17.75615678829521
stoppage,811654,14.57807489176284
hit,808430,14.520168796984716
blocked-shot,518911,9.320133234308644
missed-shot,432320,7.7648768283122
giveaway,325076,5.838672973354036
takeaway,242284,4.351650206955018
penalty,139837,2.5116050172110778
goal,106159,1.9067162269078342
period-start,59338,1.065766703456674
period-end,59273,1.0645992418684054
game-end,17840,0.3204233036109587
delayed-penalty,13756,0.24707079397266524
shootout-complete,1718,0.03085690782531542
failed-shot-attempt,47,0.0008441645330557767
