ShotType,attempts,goals,pct_of_attempts,conversion_rate
wrist,617463,34030,52.288688114640614,5.511261403517296
slap,183424,6099,15.532915055217622,3.3250828681088627
snap,171102,11305,14.489449754546001,6.607169992168414
backhand,92710,6992,7.850971272948065,7.541797001402221
tip-in,76442,6644,6.473346414051299,8.69155699746213
deflected,24960,2196,2.113690464596955,8.798076923076923
wrap-around,12740,607,1.0788628413046957,4.764521193092622
poke,1015,119,0.08595335823581368,11.724137931034482
bat,852,108,0.07215001105114606,12.676056338028168
between-legs,140,7,0.01185563561873292,5.0
cradle,25,4,0.00211707778905945,16.0
