StrengthState,attempts,goals,pct_attempts,conv_rate
5v5,1595694,68151,77.99136651827871,4.270931644789038
5v4,278737,19088,13.623589190161429,6.848032374604017
ENF,42257,2285,2.065359132116122,5.407388125044371
4v5,41870,2590,2.046444065165583,6.185813231430619
4v4,34418,1839,1.6822190550482212,5.343134406415248
3v3,14477,1521,0.7075799076045411,10.506320370242452
1v0,12594,4006,0.6155461322353797,31.808797840241386
ENA,10493,5006,0.5128573579121676,47.70799580672829
5v3,9258,1130,0.45249532255321145,12.205659969755887
4v3,5581,516,0.27277774845209257,9.245654900555456
3v5,313,12,0.015298232443201035,3.8338658146964857
3v4,264,14,0.012903301485639212,5.303030303030303
,29,1,0.0014174081177406712,3.4482758620689653
0v1,3,0,0.00014662842597317288,0.0
